"views","date","artist.text","artist.href","lyrics"
"249 views","September 1st, 2005","Lino","http://genius.com/artists/Lino",""
"1,874 views","","Lino","http://genius.com/artists/Lino",""
"74 views","","Lino","http://genius.com/artists/Lino",""
"540 views","January 1st, 2005","Lino","http://genius.com/artists/Lino",""
"462 views","","Lino","http://genius.com/artists/Lino",""
"2 views","","Lino","http://genius.com/artists/Lino","[Couplet 1]
Sans visa, tracer en classe première, le visage collé au hublot
Quitter ces paysages de merde, mettre le turbo loin de ces villes grises
Fais passer le message, t’auras beau m’endormir
Mais quand il crise, le peuple, c’est mauvais présage
Les barrières tombent, les cris, on a l’avantage du nombre
J’écris, Dieu protège mes arrières, une ombre plane sur l’instru
Sans panne, je me livre, mon skeud, un cru 2005
C’est ça être libre, avancer, même le chargeur vide
C’est quand le cœur guide les actions, être libre, c’est résister
Brailler parce qu’on existe, pas pour exister
C’est faire ce qu’on est, être fier, jeune et con
On n’est peut-être pas frères, mais tous prisonniers
Sûrement, c’est ça être libre
[Refrain : Janik]
Vivre libre, briser ces chaînes
Ce qui nous bloque, ce qui nous freine
Libre, Certain que ça en vaut la peine
[Couplet 2]
C’est en vouloir, rouler à l’instinct, rester debout
Voir son destin au bout d’un couloir et ne pas s’arrêter
La rage dans les intestins, s’apprêter au pire
Ouvrir l’œil au jour le jour, fêter en attendant le deuil
C’est couvrir d’un linceul ses craintes, courir
Ma clique, un paquet de soldats avançant comme un seul
C’est mourir un peu dès qu’un des notres chute
Nourrir un feu même sous les insultes
C’est croire ou ne pas croire, on porte le foulard ou la croix
Au risque de choquer France, je revendique cicatrices et différences
Hors de la matrice, je secoue tellement la rue qu’elle en vibre
C’est ça, être libre
[Refrain]
[couplet 3]
C’est ne pas aller dans le sens du vent, avoir du franc-parler
Tu vends ton âme ou t’élèves la voix ?
J’fais chialer ma plume, à la fois clair et obscur, j’suis paré
Je m’assume moi, je suis le premier à qui je dois plaire
Etre libre, c’est goumer même quand faut payer le tarot
Essayer de garder le moral même derrière des barreaux
Connaître le passé, et au présent renaître
C’est les bif’ qui font courir les gens
Où est l’esclave, où est le maître ?
Un spliff, un bon à mettre dans le poste et j’quitte ma taule
Esquive le réel, j’vis entre l’enclume et le marteau
Innonde les ruelles, les ondes, je les cribles
Devenir l’inverse de ce qui divise le monde, c’est ça, être libre"
"2,040 views","","Lino","http://genius.com/artists/Lino",""
"407 views","","Lino","http://genius.com/artists/Lino",""
"19 views","","Lino","http://genius.com/artists/Lino","[Couplet 1]
Primo, coupe la basse, arrache la mélodie
Ecoute le beat cassé, les mots restent audibles
Pousse le son dans le casque, c’est Lino, pas une parodie
Lyrics marginaux des taudis, permets que je me fasse une dédicace
La roue tourne, c’est un casino, la vie, c’est ce qu’on dit
On passe par les cuisines de l’enfer pour se poser au paradis
Saisis nos rimes, cousine, écoute mon cœur causer
A chaque prestation, les ondes, je reviens arroser
Les mecs, c’est des pulsations cardiaques, ces kits de batterie
A chaque, poum poum tchak, après l’impact, crie
Je sors de ma crypte, largue le truc
Sur ma vague, viens surfer, c’est réel, c’est pas un clip
On sait pas bluffer, c’est le langage du cœur
[Refrain : Wallen]
On parle le langage du coeur, jamais à demi-mot
Oui tu sais, le langage du coeur fait souvent défaut
(C'est réel, Wallen, L.I.N.O.)
Oui, tu vois, le langage du coeur ne se traduit pas
(On bluffe pas), tu auras beau tendre l'oreille
Soit tu piges, soit tu piges pas
On parle le langage du cœur, ça n’engage que moi
Ma clique, mon microphone, Wallen te le dit dans les chœurs
En cage après 2002, mon adrénaline fuse
J’en ai pour qui veut, sur la ligne, je reste, ma rage, on diffuse
L’instru, je le câline pas, je refuse de me coucher
T’amuses ta galerie, t’es de la baise, excuse, ma langue a fourché
J’apaise tes douleurs en kickant loin des clichés
Expliquant aux petits que c’est l’heure, qu’on a assez négligé le fond
Affiché sur les murs en posters ou niché dans les sonos
Reste toi-même les vrais gangsters font pas de promo
Obligé de le pisser, je peux pas le taire
J’ai que 12 mesures chrono, je termine en espérant que t’aies pigé le truc
C’est le langage du cœur
[Refrain]"
"70 views","","Lino","http://genius.com/artists/Lino",""
"1,915 views","","Lino","http://genius.com/artists/Lino",""
"226 views","","Lino","http://genius.com/artists/Lino",""
